"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"fusca"	"intermedia"	"mesata"	"mesoleuca"	"perpallida"	"potosina"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-99.08	19.46	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.47	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.47	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.59	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.24	19.39	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.3	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.24	19.49	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.47	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.08	19.48	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.6	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.98	19.56	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.34	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.88	19.33	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.71	20.1	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.3	19.06	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.14	19.78	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.52	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.02	19.48	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.16	19.78	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.2	19.08	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.44	18.92	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.36	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.42	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.24	19.55	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.89	19.45	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.42	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.29	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.97	19.56	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.84	19.69	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.24	19.03	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.04	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.88	19.34	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.8	19.11	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.83	19.75	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.98	19.34	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.31	19.04	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.26	19.79	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.35	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.37	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99	19.21	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.97	19.32	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	19.5	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.41	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.61	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.38	19.12	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.3	19.08	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.02	19.67	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.24	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.04	19.57	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.59	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.22	19.65	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.07	19.4	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.26	19.41	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.24	19.32	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.29	19.19	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.22	19.3	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.56	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.77	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.23	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.35	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.8	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.3	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.26	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.63	19.36	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.12	19.35	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.14	19.26	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.36	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.38	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.23	19.04	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.03	19.26	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.31	18.93	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.99	19.56	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.29	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.62	19.35	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99	19.33	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.31	18.72	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.88	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.86	19.36	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.44	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.89	19.42	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.11	19.53	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.21	19.08	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.61	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.34	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.25	19.62	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.25	19.01	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.85	19.69	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.24	19.33	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.46	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.46	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.5	19.55	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.44	19.11	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.7	18.89	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.03	19.37	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	20.01	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	20.01	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.42	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.24	19.41	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.86	19.41	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.07	19.59	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.47	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.89	19.5	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.01	19.4	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.35	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.37	20.09	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.11	19.59	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.98	19.33	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.88	19.49	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.9	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.11	19.54	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.64	19.01	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.63	19.02	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.64	19	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.64	18.99	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.48	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.22	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.13	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.26	19.7	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.21	19.55	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.2	19.57	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.23	19.27	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.58	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.26	19.35	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.22	19.34	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.2	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.94	19.42	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.95	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.11	20.03	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.12	20.03	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.8	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.22	19.42	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.27	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.23	19.01	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.39	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	19.75	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.73	19.12	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.35	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.98	19.27	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.95	19.23	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.15	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.89	19.49	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.4	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.08	19.74	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.07	19.26	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.07	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.92	19.31	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.3	19.04	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.85	19.5	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.97	19.26	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	19.6	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.35	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.12	19.88	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.08	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.27	19.75	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.41	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.89	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.3	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.11	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.33	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.02	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.98	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.99	19.26	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.16	19.37	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.43	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.02	19.45	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.01	19.46	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.53	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.34	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.23	18.96	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	19.31	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.37	19.61	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.14	19.89	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.04	19.36	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.36	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.98	19.17	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.03	19.45	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.23	19	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.71	20.09	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.85	19.68	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.37	18.71	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.14	19.79	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.39	19.6	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.23	19.37	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.99	19.28	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.4	19.41	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.12	19.32	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.99	19.51	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.97	19.47	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.01	19.45	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.95	19.33	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.14	19.34	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.33	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.14	19.03	"unknown"	1	0	0	0	0	0	0	0	1	"campoi"
