"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"nuttalli"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.18	34.19	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.31	37.89	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.24	34.08	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.45	33.96	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.31	37.87	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.23	33.1	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.66	34.2	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.45	37.73	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.35	38.55	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.36	33.98	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.49	37.79	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.19	32.81	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.01	34.11	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122	37.3	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.43	37.81	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.7	36.69	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.09	37.4	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.11	32.59	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.83	36.58	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.81	39.46	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.7	34.16	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.05	32.74	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.52	34.03	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.08	37.55	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.29	34.15	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.28	34.15	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114.76	32.5	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.72	38.39	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.3	38.01	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.02	38.31	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.32	34.38	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.06	38.67	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.23	34.07	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.39	33.8	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.24	32.76	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.94	36.62	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.35	34.54	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.75	33.8	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.07	37.44	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.81	34.23	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.42	35.05	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.22	38.63	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.05	38.91	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.54	34.41	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.49	37.5	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.82	38.02	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.25	32.89	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.92	32.77	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.02	37.42	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118	34.2	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.27	33.01	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.45	37.47	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.58	34.1	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.58	34.11	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-121.79	39.75	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.06	34.08	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.06	36.98	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.23	37.73	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.33	37.91	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.34	33.73	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.49	37.73	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.35	33.73	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.95	33.04	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.37	34.01	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.28	32.83	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.04	34.05	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.66	33.99	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.86	34.15	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.33	37.59	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.34	33.83	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.95	33.03	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.11	33.75	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.23	33.82	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.39	33.94	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.2	33.96	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.21	37.74	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.94	32.54	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.24	32.67	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.97	32.96	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.3	36.19	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.12	34.79	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.46	32.59	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.12	33.84	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.3	48.41	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.32	48.47	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.52	38.66	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.58	35.76	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.1	37.46	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.79	36.82	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.98	37.43	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.1	34.01	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.67	37	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.89	33.65	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.59	37.86	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.32	37.8	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.51	33.9	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.97	33.64	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.18	33.81	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.26	37.8	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.16	34.12	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.79	34.09	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.61	34.51	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.62	34.5	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.31	37.84	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.37	34.52	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.25	34.53	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.67	35.51	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-114.78	32.5	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.46	49.86	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.84	33.66	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.18	33.12	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.31	37.59	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.25	33.85	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.4	34.31	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.46	37.81	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.97	36.61	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.98	36.61	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.98	36.6	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.05	32.93	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.16	33.84	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.45	32.57	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.09	32.55	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.19	32.77	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.54	49.09	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.23	32.77	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.13	32.58	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114.77	32.5	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.94	33.05	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.35	37.65	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.22	37.03	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-124.73	49.47	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.5	37.79	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.1	37.43	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.08	37.43	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122	37.92	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.06	36.96	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.23	38.81	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.07	32.83	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.64	35.26	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.08	35.56	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.31	33.92	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.22	33.87	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.21	38.12	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.59	34.16	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.4	34.55	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.03	37.43	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.9	32.87	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.5	37.5	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.22	37.5	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.2	34.45	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.13	34.11	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.11	34.12	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.32	37.9	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.13	37.37	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.35	39.11	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.01	33.7	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.67	34.19	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.12	38.68	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.95	37.4	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.39	37.92	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.38	33.86	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.98	34.34	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.95	34.33	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.03	32.85	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.04	32.84	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.9	47.06	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.86	35.44	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.06	32.85	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.26	34.47	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.72	37.13	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.24	33.9	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.35	33.98	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.15	39.17	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.3	33.96	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.36	33.97	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.05	36.98	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.41	33.74	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.8	33.68	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.02	37.39	"unknown"	0	1	1	"nuttalli"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114.78	32.5	"unknown"	0	1	1	"nuttalli"
